# StatCan survey → subject mapping. EDIT THE `subjects` COLUMN (the last one).
#
# The taxonomy is Statistics Canada’s, captured from their subject facet. The assignment is
# ours and is not published anywhere fetchable, so this file is the source of truth for it.
#
# Format: pipe-separate multiple subjects, e.g.  Health|Children and youth
#         leave blank to leave a survey unclassified (shown as unclassified, not guessed).
# Spelling must match the taxonomy exactly; the loader reports anything it does not recognize.
#
# suggest_name    — from the official survey title. Higher precision; a title is a deliberate label.
# suggest_content — from variable text. Lower precision: it filed CHMS under Languages and put
#                   Transportation on CCHS. Offered for reference, not as an answer.
#
survey_group	acronym	records	official_name	suggest_name	subjects	suggest_content
HES_ALL_2006	HES	744	Households and the Environment Survey (HES)	Families, households and marital status|Environment		Environment|Families, households and marital status|Housing
GSS_ESG_33	GSS	726	General Social Survey - Caregiving and Care Receiving (GSS)	Society and community		Society and community
ICC_RCC_Covid19	ICC	617				Health
GSS_ESG_35	GSS	604	General Social Survey - Caregiving and Care Receiving (GSS)	Society and community		Immigration and ethnocultural diversity|Families, households and marital status
CAFHS_ESFAC_2019	CAFHS	562				Health|Labour
SSMCAF_SISFAC_2022	SSMCAF	555				
SFS_ESF_2012	SFS	553	Survey of Financial Security (SFS)	Income, pensions, spending and wealth		Income, pensions, spending and wealth|Housing|Families, households and marital status|Labour
CNICS_ENCVE_2021	CNICS	547	Childhood National Immunization Coverage Survey (CNICS)	Children and youth		Children and youth|Health
SEPR_EPUR_2014	SEPR	540				Society and community
CLPS_ECPJ_2021	CLPS	534	Canadian Legal Problems Survey (CLPS)			Crime and justice|Health
IFPI_IITA	IFPI	520				Business performance and ownership
HES_EME_2019	HES	512	Households and the Environment Survey (HES)	Families, households and marital status|Environment		Environment|Housing
CCHS_ESCC_2024_RR_SCH2TAL2	CCHS	511	Canadian Community Health Survey - Annual Component (CCHS)	Health|Society and community		Health|Transportation
SFT_ETF_2024	SFT	505	Survey on Family Transitions (SFT)	Families, households and marital status		Families, households and marital status|Housing|Population and demography|Children and youth
HES_EME_2013	HES	495	Households and the Environment Survey (HES)	Families, households and marital status|Environment		Environment|Families, households and marital status|Housing
SEFJ_EECF	SEFJ	492				Labour|Business performance and ownership
CNICS_ENCVE_2019	CNICS	486	Childhood National Immunization Coverage Survey (CNICS)	Children and youth		Children and youth|Health
NGS_END_2018	NGS	485	National Graduates Survey (NGS)	Education, training and learning		Education, training and learning|Labour
CIUS_ECUI_2018	CIUS	483	Canadian Internet Use Survey (CIUS)	Digital economy and society		Digital economy and society
